omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
59089.519531,9404.389118283743,0.97644,0.9764402000000001,0.289,0.2922,-0.20708698004204482,16.741826773722657,0.935051304089326,0.2812730397618849,9404.388672,150442.484375,0.0,1000000.0,1.647,2789.0,1298.0,1.189,0.424,0.013,1.664,2793.0,1339.0,1.167,0.414,0.002,3.0
59713.488281,9503.696829181114,0.977264,0.9768430000000001,0.287,0.2878,-0.20350462557771817,16.489725343865093,0.9366660832871374,0.2772704367013071,9503.696289,152057.25,0.0,1000000.0,1.647,2792.0,1295.0,1.202,0.424,0.008,1.664,2793.0,1339.0,1.162,0.414,0.003,3.0
60286.429688,9594.883286207189,0.977173,0.9773314,0.288,0.28300000000000003,-0.1991629572112136,16.214705602202297,0.9384551583482749,0.27290764224454084,9594.882813,153568.203125,0.0,1000000.0,1.648,2781.0,1307.0,1.186,0.424,0.007,1.667,2799.0,1339.0,1.173,0.414,0.002,3.0
60936.0625,9698.275559431679,0.978149,0.9776976,0.279,0.27980000000000005,-0.19590901793700324,16.031359107760437,0.9396756151614662,0.2700043246258846,9698.275391,155109.484375,0.0,1000000.0,1.647,2790.0,1297.0,1.197,0.424,0.008,1.664,2798.0,1335.0,1.17,0.415,0.002,3.0
61599.859375,9803.922113296881,0.977631,0.9781860000000001,0.272,0.27680000000000005,-0.19157114365102412,15.859471769221189,0.9409512073660573,0.2673175563863312,9803.921875,156826.5625,0.0,1000000.0,1.647,2794.0,1296.0,1.204,0.424,0.006,1.664,2798.0,1337.0,1.174,0.415,0.004,3.0
62209.757813,9900.990464488606,0.978271,0.9785278000000002,0.273,0.27260000000000006,-0.18853663026589085,15.618829495266246,0.9423948173649198,0.2634552401767326,9900.990234,158434.296875,0.0,1000000.0,1.647,2816.0,1297.0,1.203,0.424,0.002,1.664,2794.0,1336.0,1.172,0.415,0.003,3.0
62831.855469,10000.000381526888,0.979706,0.9774476000000001,0.272,0.2686,-0.19813030812184546,15.389646377213912,0.9423996286924571,0.25939689779578956,10000.0,159924.734375,0.0,1000000.0,1.648,2787.0,1302.0,1.197,0.424,0.002,1.667,2805.0,1335.0,1.183,0.415,0.002,3.0
63466.519531,10101.010304196969,0.978882,0.9779174000000002,0.267,0.26580000000000004,-0.19395652877069317,15.229218194577284,0.9435755467289649,0.25688057310332957,10101.009766,161596.953125,0.0,1000000.0,1.647,2790.0,1296.0,1.195,0.424,0.025,1.664,2795.0,1332.0,1.174,0.415,0.005,3.0
64114.140625,10204.08240255765,0.972748,0.9781494000000001,0.259,0.26220000000000004,-0.1918961426882963,15.022953388330187,0.9447182711502452,0.25354217967677867,10204.082031,163304.515625,0.0,1000000.0,1.647,2816.0,1299.0,1.2,0.426,0.046,1.663,2787.0,1343.0,1.164,0.415,0.018,3.0
64708.398438,10298.66147096758,0.97998,0.9783386000000001,0.258,0.25860000000000005,-0.19021622405384045,14.816688582083092,0.9458078081579065,0.2501879419106698,10298.661133,164728.6875,0.0,1000000.0,1.647,2788.0,1298.0,1.198,0.424,0.004,1.664,2794.0,1339.0,1.171,0.416,0.001,3.0
