omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,clip_flags,input_dc_v,input_pp_v,input_rms_v,output_dc_v,output_pp_v,output_rms_v,valid_capture_count
94247.78125,15000.00026138115,0.874115,0.8750182000000001,0.424,0.42660000000000003,-1.159658274928168,24.44237954028092,0.7965971910004086,0.36206320666632047,0.0,1.647,1.201,0.424,1.641,1.063,0.371,3.0
94912.171875,15105.741313493814,0.877838,0.8763428,0.426,0.42440000000000005,-1.1465195426983477,24.31632882535214,0.798598891032607,0.3608552540192956,0.0,1.648,1.206,0.424,1.645,1.062,0.372,3.0
95489.140625,15197.568742065867,0.87912,0.87771,0.425,0.4218,-1.1329790714900676,24.167359798618126,0.8007817840684661,0.3593374158143353,0.0,1.648,1.206,0.424,1.645,1.062,0.372,3.0
96171.203125,15306.122360438483,0.877686,0.8790772,0.42,0.4192,-1.119459675731013,24.01839077188411,0.8029621744477998,0.35781066217470536,0.0,1.648,1.204,0.424,1.641,1.061,0.372,3.0
96763.640625,15400.411717036488,0.879791,0.8801514000000001,0.414,0.4152,-1.1088523177005676,23.78920765383178,0.8053699209015149,0.3550292627785036,0.0,1.648,1.206,0.424,1.642,1.071,0.373,3.0
97363.414063,15495.868624429408,0.880951,0.8808350000000001,0.411,0.4118,-1.1021087398343945,23.5944020034873,0.8071988153339141,0.3525625756493814,0.0,1.648,1.201,0.424,1.641,1.067,0.373,3.0
97970.664063,15592.515463621961,0.883209,0.882489,0.406,0.409,-1.0858139855240285,23.433973820850667,0.8097004014207334,0.3509588224565713,0.0,1.647,1.206,0.424,1.641,1.07,0.375,3.0
98656.492188,15701.668399827158,0.882538,0.8836854000000001,0.408,0.4066,-1.0740464047545841,23.296463950019273,0.8116392283042969,0.3494876954211199,0.0,1.647,1.206,0.424,1.641,1.073,0.374,3.0
99240.828125,15794.668352626943,0.885956,0.8847230000000001,0.406,0.40440000000000004,-1.0638536459747812,23.170413235090493,0.8133600422238042,0.348109506395174,0.0,1.648,1.208,0.423,1.641,1.073,0.375,3.0
99931.375,15904.572301219852,0.885773,0.8855898000000001,0.402,0.40320000000000006,-1.0553478838971047,23.101658299674796,0.8145744793428067,0.3474733248285909,0.0,1.647,1.204,0.424,1.641,1.077,0.375,3.0
100530.96875,16000.000610379358,0.886139,0.8868532000000001,0.4,0.40080000000000005,-1.042965251759125,22.964148428843398,0.8165693430430271,0.34601026914315625,0.0,1.648,1.21,0.424,1.641,1.086,0.376,3.0
101137.789063,16096.57906276188,0.887543,0.8874880000000002,0.4,0.3982000000000001,-1.0367502092661771,22.815179402109386,0.8180513422629262,0.34413217165185983,0.0,1.647,1.21,0.424,1.641,1.078,0.376,3.0
101751.992188,16194.33252616812,0.888855,0.8884646000000002,0.396,0.3964000000000001,-1.02719743102698,22.712046998985837,0.819570326030997,0.3430361878032777,0.0,1.647,1.203,0.424,1.641,1.081,0.377,3.0
102373.695313,16293.279651647548,0.88913,0.8896242000000001,0.393,0.39440000000000003,-1.015868234136203,22.59745543995967,0.8213253331666259,0.34184194348319974,0.0,1.647,1.206,0.424,1.641,1.083,0.377,3.0
